"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 20, 2018","94.80","94.80","94.80","94.80","0.01K","0.69%"
"Feb 21, 2018","94.70","94.70","94.70","94.70","0.01K","-0.11%"
"Feb 22, 2018","94.75","94.75","94.75","94.75","-","0.05%"
"Feb 23, 2018","94.55","94.55","94.55","94.55","-","-0.21%"
"Feb 26, 2018","94.15","94.15","94.15","94.15","0.05K","-0.42%"
"Feb 27, 2018","95.25","95.25","95.25","95.25","0.11K","1.17%"
"Feb 28, 2018","95.60","95.60","95.60","95.60","0.12K","0.37%"
"Mar 01, 2018","93.75","93.75","93.75","93.75","0.02K","-1.94%"
"Mar 02, 2018","94.40","94.40","94.40","94.40","0.01K","0.69%"
"Mar 05, 2018","94.20","94.20","94.20","94.20","0.05K","-0.21%"
"Mar 06, 2018","93.80","93.80","93.80","93.80","0.01K","-0.42%"
"Mar 07, 2018","92.00","92.00","92.00","92.00","-","-1.92%"
"Mar 08, 2018","92.30","92.30","92.30","92.30","0.02K","0.33%"
"Mar 09, 2018","92.35","92.35","92.35","92.35","-","0.05%"
"Mar 12, 2018","91.75","91.75","91.75","91.75","0.02K","-0.65%"
"Mar 13, 2018","92.30","92.30","92.30","92.30","-","0.60%"
"Mar 14, 2018","92.05","92.05","92.05","92.05","0.02K","-0.27%"
"Mar 15, 2018","92.15","92.15","92.15","92.15","0.02K","0.11%"
"Mar 16, 2018","91.70","91.70","91.70","91.70","-","-0.49%"
"Mar 19, 2018","91.75","91.75","91.75","91.75","0.01K","0.05%"
"Mar 20, 2018","91.75","91.75","91.75","91.75","0.02K","0.00%"
"Mar 21, 2018","91.50","91.50","91.50","91.50","-","-0.27%"
"Mar 22, 2018","91.20","91.20","91.20","91.20","-","-0.33%"
"Mar 23, 2018","91.25","91.25","91.25","91.25","-","0.05%"
"Mar 26, 2018","91.45","91.45","91.45","91.45","-","0.22%"
"Mar 27, 2018","91.50","91.50","91.50","91.50","-","0.05%"
"Mar 28, 2018","91.45","91.45","91.45","91.45","-","-0.05%"
"Mar 29, 2018","91.40","91.40","91.40","91.40","-","-0.05%"
"Apr 02, 2018","89.05","89.05","89.05","89.05","-","-2.57%"
"Apr 03, 2018","91.65","91.65","91.65","91.65","0.02K","2.92%"
"Apr 04, 2018","91.85","91.85","91.85","91.85","0.02K","0.22%"
"Apr 05, 2018","93.20","93.20","93.20","93.20","0.01K","1.47%"
"Apr 06, 2018","93.25","93.25","93.25","93.25","0.02K","0.05%"
"Apr 09, 2018","93.30","93.30","93.30","93.30","-","0.05%"
"Apr 10, 2018","93.30","93.30","93.30","93.30","0.04K","0.00%"
"Apr 11, 2018","93.60","93.60","93.60","93.60","0.01K","0.32%"
"Apr 12, 2018","93.80","93.80","93.80","93.80","-","0.21%"
"Apr 13, 2018","94.00","94.00","94.00","94.00","0.02K","0.21%"
"Apr 16, 2018","94.35","94.35","94.35","94.35","0.06K","0.37%"
